destination_name,destination_isLocated
Grand Canyon,"36.0544° N, 112.1401° W"
Camelback Moutain,"33.5151° N, 111.9619° W"
"""A' Mountain at Hayden Butte","33.4283° N, 111.9359° W"
South Mountain,"33.3335° N, 112.0622° W"
Zion National Park,"37.2982° N, 113.0263° W"
Palo Duro Canyon,"34.9373° N, 101.6589° W"
Enchanted Rock,"30.5066° N, 98.8189° W"
Joshua Tree National Park,"33.8734° N, 115.9010° W"
Yosemite National Park,"37.8651° N, 119.5383° W"
Silver Falls State Park,"44.8652° N, 122.6262° W"