trail_name,trail_length,trail_hoursOpen,trail_difficulty,trail_elevationGain
Bright Angel Trail,12,,hard,4380
Hermit Trail,17.5,,hard,5059
Bright Angel Point Trail,0.5,,easy,144
Transept Trail,3,,medium,282
Bridle Trail,1.2,,easy,255
Ken Patrick Trail,10,,hard,1236
Uncle Jim Trail,5,,easy,731
Widforss Trail,10,,medium,1036
Cape Royal Trail,0.6,,easy,65
Cliff Springs Trail,1,,easy,308
Cape Final Trail,4,,easy,495
Roosevelt Point Trail,0.2,,easy,13
Point Imperial Trail,4,,easy,472
Leonarad Monti Trail,0.9,,easy,232
Echo Canyon Trail,2.5,,hard,1420
Cholla Trail,2.6,,hard,1204
Kiwanis Trail,2.7,,medium,577
Telegraph Pass Trail,2.3,,medium,492
Pyramid Trail,6,,medium,1240
Midlife Crisis Trail and National Trail Loop,5.3,,hard,1046
Marcos de Niza & Pima,1.7,,medium,331
Trail of Ten Falls,7.4,,medium,1151
Angels Landing Trail,4.4,,hard,1604
The Zion Narrows Riverside Walk,1.9,,easy,193
The Watchman Trail,3.1,,medium,636
The Lighthouse Trail,5.8,,medium,521
Rock Garden Trail,5,,medium,777
Enchanted Rock Summit Trail,1.3,,medium,419
Ryan Mountain Trail,3,,medium,1069
Upper Yosemite Falls Trail,7.6,,hard,3218